"refund_id","original_tran_id","refund_time","employee_id","reason","detailed_id","quantity","amount"
49,1067,"2025-02-24 00:00:00",40,"Quality/Expired",2844,"1.000","12.00"
50,15763,"2025-04-21 00:00:00",38,"Changed mind",42395,"3.000","10.50"
51,23844,"2025-06-29 00:00:00",47,"Quality/Expired",64067,"1.000","2.50"
52,23896,"2025-07-10 00:00:00",18,"Defective",64203,"3.000","5.40"
53,41684,"2025-07-09 00:00:00",7,"Other",112224,"1.000","2.81"
54,14087,"2025-07-18 00:00:00",7,"Changed mind",37963,"1.000","7.20"
55,11762,"2025-07-16 00:00:00",47,"Changed mind",31705,"1.000","1.00"
56,22588,"2025-04-05 00:00:00",3,"Quality/Expired",60669,"2.000","4.00"
57,21643,"2025-05-23 00:00:00",28,"Quality/Expired",58151,"1.000","4.00"
58,11441,"2025-01-31 00:00:00",47,"Changed mind",30861,"2.000","16.00"
59,30486,"2025-07-11 00:00:00",46,"Defective",81919,"4.000","9.40"
60,49127,"2025-07-22 00:00:00",47,"Changed mind",132267,"2.000","4.00"
61,36283,"2025-02-12 00:00:00",7,"Defective",97628,"2.000","5.00"
62,8173,"2025-01-07 00:00:00",28,"Other",22023,"3.000","7.50"
63,25871,"2025-04-22 00:00:00",38,"Changed mind",69535,"2.000","8.00"
64,33210,"2025-02-22 00:00:00",46,"Quality/Expired",89349,"4.000","10.00"
65,47364,"2025-06-03 00:00:00",24,"Defective",127535,"1.000","8.00"
66,15440,"2025-07-25 00:00:00",47,"Other",41524,"5.000","18.73"
67,36964,"2025-01-21 00:00:00",24,"Defective",99476,"2.000","5.00"
68,8682,"2025-03-22 00:00:00",7,"Quality/Expired",23386,"2.000","4.90"
69,513,"2025-06-10 00:00:00",18,"Wrong item",1373,"1.000","2.00"
70,49557,"2025-07-01 00:00:00",28,"Changed mind",133437,"2.000","14.00"
71,47714,"2025-01-24 00:00:00",40,"Defective",128465,"1.000","1.50"
72,36282,"2025-07-17 00:00:00",7,"Changed mind",97625,"4.000","80.00"
73,30920,"2025-06-17 00:00:00",47,"Defective",83107,"2.000","10.00"
74,35641,"2025-08-06 00:00:00",14,"Wrong item",95913,"1.000","4.80"
75,49178,"2025-07-12 00:00:00",28,"Wrong item",132402,"2.000","12.00"
76,25338,"2025-05-30 00:00:00",7,"Defective",68090,"1.000","9.00"
77,48103,"2025-06-10 00:00:00",28,"Changed mind",129507,"3.000","3.00"
78,41060,"2025-03-20 00:00:00",28,"Defective",110553,"1.000","7.00"
79,45330,"2025-05-02 00:00:00",3,"Changed mind",122037,"1.000","6.00"
80,39503,"2025-03-10 00:00:00",14,"Quality/Expired",106306,"1.000","2.50"
81,7419,"2025-07-23 00:00:00",46,"Changed mind",19968,"1.000","2.30"
82,47995,"2025-05-22 00:00:00",28,"Changed mind",129227,"1.000","14.90"
83,14469,"2025-01-09 00:00:00",3,"Other",38936,"2.000","12.00"
84,32209,"2025-04-08 00:00:00",38,"Other",86603,"2.000","5.00"
85,9385,"2025-06-06 00:00:00",38,"Other",25315,"3.000","75.00"
86,9419,"2025-03-06 00:00:00",24,"Defective",25408,"2.000","2.00"
87,41856,"2025-04-05 00:00:00",47,"Quality/Expired",112678,"4.000","16.73"
88,24339,"2025-05-02 00:00:00",24,"Defective",65424,"3.000","20.10"
89,42908,"2025-03-01 00:00:00",18,"Defective",115489,"1.000","2.30"
90,22864,"2025-04-11 00:00:00",47,"Quality/Expired",61405,"2.000","6.31"
91,2083,"2025-02-13 00:00:00",28,"Changed mind",5580,"3.000","6.00"
92,22701,"2025-06-10 00:00:00",24,"Changed mind",60961,"5.000","40.00"
93,19641,"2025-02-26 00:00:00",14,"Other",52814,"2.000","8.00"
94,21960,"2025-02-25 00:00:00",24,"Wrong item",58990,"3.000","15.00"
95,36599,"2025-03-13 00:00:00",40,"Quality/Expired",98491,"3.000","4.50"
96,116,"2025-08-04 00:00:00",46,"Defective",298,"2.000","8.52"
97,34204,"2025-03-15 00:00:00",24,"Other",92029,"2.000","7.00"
98,36499,"2025-02-26 00:00:00",14,"Quality/Expired",98220,"2.000","6.00"
99,11850,"2025-01-22 00:00:00",40,"Quality/Expired",31931,"4.000","21.20"
100,49930,"2025-07-08 00:00:00",46,"Other",134461,"1.000","4.00"
101,30470,"2025-01-24 00:00:00",24,"Quality/Expired",81871,"4.000","26.80"
102,8685,"2025-08-04 00:00:00",3,"Defective",23397,"1.000","9.00"
103,13047,"2025-02-02 00:00:00",18,"Changed mind",35180,"1.000","6.00"
104,11836,"2025-04-20 00:00:00",47,"Quality/Expired",31902,"2.000","16.00"
105,8502,"2025-06-03 00:00:00",14,"Changed mind",22900,"2.000","10.00"
106,6885,"2025-07-17 00:00:00",38,"Defective",18542,"1.000","2.00"
107,47063,"2025-05-19 00:00:00",24,"Wrong item",126733,"2.000","8.00"
108,19854,"2025-07-20 00:00:00",3,"Other",53406,"2.000","9.00"
109,3625,"2025-07-28 00:00:00",14,"Changed mind",9712,"4.000","6.00"
110,12568,"2025-06-19 00:00:00",14,"Wrong item",33865,"1.000","10.30"
111,48000,"2025-04-18 00:00:00",24,"Defective",129238,"2.000","30.00"
112,24587,"2025-06-13 00:00:00",3,"Defective",66081,"1.000","2.55"
113,41877,"2025-05-31 00:00:00",7,"Changed mind",112739,"1.000","4.00"
114,21681,"2025-03-07 00:00:00",3,"Defective",58239,"2.000","30.00"
115,23334,"2025-07-09 00:00:00",40,"Quality/Expired",62682,"3.000","7.20"
116,27098,"2025-03-23 00:00:00",7,"Changed mind",72829,"2.000","8.00"
117,11152,"2025-02-04 00:00:00",24,"Quality/Expired",30026,"3.000","6.00"
118,34710,"2025-08-10 00:00:00",40,"Defective",93396,"2.000","9.00"
119,14477,"2025-04-04 00:00:00",40,"Quality/Expired",38954,"1.000","11.50"
120,41944,"2025-04-19 00:00:00",24,"Other",112909,"3.000","9.00"
121,21955,"2025-03-11 00:00:00",14,"Defective",58977,"3.000","9.00"
122,28939,"2025-08-11 00:00:00",18,"Defective",77726,"1.000","4.00"
123,15463,"2025-02-15 00:00:00",40,"Changed mind",41586,"2.000","19.00"
124,46362,"2025-03-16 00:00:00",7,"Defective",124839,"4.000","22.00"
125,47708,"2025-05-26 00:00:00",46,"Quality/Expired",128446,"2.000","7.00"
126,41474,"2025-07-17 00:00:00",47,"Defective",111670,"1.000","4.50"
127,42814,"2025-07-11 00:00:00",46,"Defective",115239,"2.000","3.61"
128,35558,"2025-07-20 00:00:00",46,"Quality/Expired",95690,"4.000","6.00"
129,36037,"2025-03-18 00:00:00",3,"Quality/Expired",96969,"2.000","6.00"
130,32027,"2025-03-27 00:00:00",24,"Changed mind",86109,"1.000","2.50"
131,6438,"2025-03-02 00:00:00",18,"Quality/Expired",17323,"1.000","2.34"
132,45712,"2025-02-03 00:00:00",47,"Changed mind",123070,"2.000","12.00"
133,15306,"2025-03-13 00:00:00",28,"Quality/Expired",41159,"2.000","24.00"
134,8760,"2025-04-03 00:00:00",14,"Wrong item",23592,"5.000","30.00"
135,12745,"2025-03-21 00:00:00",28,"Quality/Expired",34355,"1.000","4.45"
136,49544,"2025-01-21 00:00:00",28,"Defective",133397,"2.000","8.00"
137,22769,"2025-08-21 00:00:00",28,"Wrong item",61132,"2.000","8.50"
138,15659,"2025-02-21 00:00:00",28,"Defective",42114,"5.000","20.00"
139,36505,"2025-04-30 00:00:00",7,"Defective",98235,"4.000","40.00"
140,28406,"2025-02-16 00:00:00",28,"Defective",76308,"1.000","11.50"
141,8895,"2025-05-08 00:00:00",46,"Quality/Expired",23960,"5.000","12.50"
142,42490,"2025-02-12 00:00:00",46,"Defective",114379,"1.000","6.50"
143,12570,"2025-08-05 00:00:00",3,"Defective",33872,"1.000","2.50"
144,25528,"2025-05-01 00:00:00",40,"Defective",68599,"2.000","3.00"
145,47259,"2025-05-27 00:00:00",18,"Defective",127258,"4.000","8.00"
146,10671,"2025-07-21 00:00:00",24,"Quality/Expired",28745,"2.000","9.50"
147,9171,"2025-04-15 00:00:00",38,"Other",24711,"2.000","7.00"
148,15344,"2025-06-17 00:00:00",47,"Changed mind",41257,"1.000","4.00"
149,3220,"2025-08-16 00:00:00",14,"Changed mind",8605,"4.000","8.00"
150,2289,"2025-06-11 00:00:00",47,"Quality/Expired",6135,"1.000","1.50"
151,35563,"2025-06-03 00:00:00",28,"Quality/Expired",95705,"2.000","12.00"
152,7841,"2025-02-12 00:00:00",18,"Changed mind",21115,"2.000","20.00"
153,3525,"2025-05-18 00:00:00",40,"Defective",9435,"2.000","8.50"
154,1240,"2025-02-27 00:00:00",46,"Wrong item",3324,"1.000","2.30"
155,47138,"2025-03-28 00:00:00",18,"Changed mind",126933,"3.000","43.09"
156,28686,"2025-07-06 00:00:00",38,"Defective",77040,"1.000","2.75"
157,27265,"2025-05-31 00:00:00",18,"Wrong item",73281,"2.000","10.60"
158,19817,"2025-06-24 00:00:00",18,"Wrong item",53309,"2.000","40.00"
159,38095,"2025-06-16 00:00:00",46,"Wrong item",102551,"1.000","1.75"
160,22859,"2025-04-30 00:00:00",24,"Changed mind",61389,"3.000","15.00"
161,8564,"2025-07-31 00:00:00",14,"Changed mind",23066,"1.000","3.77"
162,24638,"2025-04-09 00:00:00",3,"Changed mind",66218,"2.000","1.88"
163,25971,"2025-07-25 00:00:00",47,"Changed mind",69819,"3.000","5.74"
164,1512,"2025-03-03 00:00:00",18,"Defective",4048,"4.000","7.20"
165,9353,"2025-03-30 00:00:00",18,"Defective",25227,"2.000","4.80"
166,10634,"2025-03-28 00:00:00",14,"Wrong item",28643,"1.000","4.34"
167,21976,"2025-07-31 00:00:00",46,"Wrong item",59039,"1.000","7.50"
168,48315,"2025-08-26 00:00:00",46,"Defective",130097,"1.000","4.00"
169,11159,"2025-03-01 00:00:00",38,"Changed mind",30042,"3.000","12.00"
170,41224,"2025-04-10 00:00:00",46,"Defective",110998,"1.000","4.50"
171,45403,"2025-02-20 00:00:00",18,"Wrong item",122227,"1.000","30.00"
172,19193,"2025-07-16 00:00:00",40,"Quality/Expired",51614,"2.000","19.00"
173,39176,"2025-04-15 00:00:00",47,"Quality/Expired",105413,"2.000","11.00"
174,1990,"2025-05-26 00:00:00",40,"Defective",5325,"1.000","1.50"
175,30254,"2025-04-20 00:00:00",28,"Changed mind",81305,"1.000","10.00"
176,6446,"2025-05-21 00:00:00",24,"Changed mind",17346,"1.000","2.82"
177,32287,"2025-07-20 00:00:00",28,"Changed mind",86817,"1.000","2.50"
178,36849,"2025-02-04 00:00:00",24,"Quality/Expired",99162,"1.000","1.50"
179,14549,"2025-07-31 00:00:00",46,"Wrong item",39146,"2.000","6.00"
180,18187,"2025-07-19 00:00:00",14,"Changed mind",48946,"1.000","2.50"
181,25565,"2025-06-19 00:00:00",28,"Changed mind",68700,"2.000","30.00"
182,3511,"2025-03-18 00:00:00",18,"Other",9403,"2.000","20.00"
183,41918,"2025-01-13 00:00:00",7,"Wrong item",112846,"2.000","4.66"
184,13118,"2025-03-19 00:00:00",38,"Defective",35382,"3.000","5.40"
185,22406,"2025-04-05 00:00:00",46,"Changed mind",60190,"1.000","3.73"
186,24521,"2025-02-14 00:00:00",28,"Changed mind",65909,"2.000","16.00"
187,28674,"2025-08-22 00:00:00",18,"Wrong item",77003,"1.000","30.00"
188,590,"2025-07-28 00:00:00",47,"Changed mind",1589,"1.000","4.00"
189,10544,"2025-04-25 00:00:00",3,"Other",28397,"4.000","10.82"
190,29088,"2025-02-14 00:00:00",14,"Other",78109,"2.000","3.73"
191,6148,"2025-07-26 00:00:00",28,"Changed mind",16519,"1.000","2.30"
192,42827,"2025-02-25 00:00:00",28,"Wrong item",115275,"1.000","4.25"
193,47201,"2025-04-24 00:00:00",3,"Changed mind",127107,"1.000","5.50"
194,5752,"2025-04-03 00:00:00",28,"Changed mind",15449,"2.000","5.00"
195,38955,"2025-04-29 00:00:00",18,"Defective",104843,"3.000","8.53"
196,39937,"2025-02-17 00:00:00",38,"Quality/Expired",107524,"3.000","45.00"
197,44546,"2025-02-16 00:00:00",7,"Other",119900,"1.000","4.00"
198,17126,"2025-08-09 00:00:00",14,"Changed mind",46059,"4.000","8.00"
199,428,"2025-06-04 00:00:00",14,"Changed mind",1149,"1.000","2.26"
200,45961,"2025-07-11 00:00:00",38,"Other",123741,"3.000","10.50"
201,43862,"2025-02-22 00:00:00",47,"Wrong item",118071,"2.000","40.00"
202,29137,"2025-06-14 00:00:00",38,"Changed mind",78244,"1.000","6.00"
203,14570,"2025-05-22 00:00:00",47,"Defective",39202,"2.000","3.00"
204,31865,"2025-05-24 00:00:00",18,"Other",85650,"2.000","9.00"
205,37879,"2025-03-21 00:00:00",28,"Changed mind",101988,"4.000","28.00"
206,32331,"2025-03-24 00:00:00",7,"Other",86922,"1.000","3.78"
207,22419,"2025-07-05 00:00:00",46,"Other",60223,"2.000","16.00"
208,29705,"2025-07-02 00:00:00",7,"Wrong item",79794,"2.000","5.00"
209,21136,"2025-02-27 00:00:00",18,"Changed mind",56787,"2.000","20.00"
210,27918,"2025-07-03 00:00:00",14,"Changed mind",74999,"2.000","10.00"
211,2702,"2025-05-28 00:00:00",7,"Changed mind",7228,"1.000","14.48"
212,3508,"2025-06-22 00:00:00",3,"Wrong item",9395,"2.000","17.80"
213,46867,"2025-05-29 00:00:00",24,"Defective",126220,"2.000","24.00"
214,5594,"2025-04-13 00:00:00",14,"Changed mind",15011,"1.000","5.00"
215,29388,"2025-01-15 00:00:00",47,"Changed mind",78920,"2.000","24.00"
216,42268,"2025-01-19 00:00:00",47,"Defective",113777,"4.000","16.00"
217,43851,"2025-04-21 00:00:00",3,"Defective",118044,"2.000","10.00"
218,39211,"2025-06-18 00:00:00",40,"Changed mind",105509,"1.000","1.75"
219,15023,"2025-04-13 00:00:00",38,"Quality/Expired",40412,"2.000","9.50"
220,42401,"2025-04-14 00:00:00",46,"Defective",114134,"2.000","17.62"
221,31127,"2025-08-12 00:00:00",3,"Wrong item",83675,"1.000","3.00"
222,17548,"2025-03-28 00:00:00",28,"Defective",47208,"1.000","3.66"
223,41268,"2025-05-31 00:00:00",47,"Changed mind",111128,"1.000","1.70"
224,33960,"2025-07-31 00:00:00",38,"Quality/Expired",91384,"1.000","5.00"
225,27353,"2025-06-13 00:00:00",46,"Other",73511,"2.000","9.80"
226,34187,"2025-07-22 00:00:00",24,"Quality/Expired",91979,"1.000","2.75"
227,5923,"2025-06-15 00:00:00",18,"Wrong item",15891,"2.000","8.00"
228,24146,"2025-04-27 00:00:00",3,"Changed mind",64909,"1.000","2.50"
229,25128,"2025-02-24 00:00:00",24,"Quality/Expired",67553,"1.000","1.50"
230,9639,"2025-05-24 00:00:00",14,"Defective",25991,"3.000","6.85"
231,46452,"2025-02-19 00:00:00",46,"Changed mind",125092,"4.000","23.60"
232,28602,"2025-03-18 00:00:00",46,"Changed mind",76817,"1.000","31.00"
233,14193,"2025-07-03 00:00:00",47,"Quality/Expired",38242,"1.000","6.50"
234,16415,"2025-05-17 00:00:00",28,"Other",44157,"3.000","6.00"
235,43914,"2025-02-24 00:00:00",14,"Defective",118209,"2.000","5.00"
236,21364,"2025-06-04 00:00:00",47,"Changed mind",57417,"2.000","20.00"
237,32429,"2025-04-29 00:00:00",38,"Wrong item",87169,"2.000","4.00"
238,42281,"2025-05-18 00:00:00",24,"Defective",113807,"3.000","13.50"
239,40183,"2025-08-09 00:00:00",38,"Defective",108156,"2.000","4.90"
240,6143,"2025-05-27 00:00:00",46,"Changed mind",16505,"5.000","20.00"
241,13898,"2025-06-14 00:00:00",18,"Changed mind",37453,"2.000","11.00"
242,17040,"2025-02-26 00:00:00",40,"Defective",45812,"2.000","4.80"
243,17107,"2025-03-06 00:00:00",40,"Changed mind",46004,"1.000","6.00"
244,29361,"2025-08-17 00:00:00",47,"Other",78846,"1.000","4.30"
245,34150,"2025-07-24 00:00:00",14,"Changed mind",91888,"1.000","4.50"
246,5276,"2025-08-01 00:00:00",14,"Changed mind",14164,"1.000","8.00"
247,44087,"2025-02-11 00:00:00",14,"Defective",118685,"1.000","10.00"
248,47392,"2025-03-16 00:00:00",46,"Other",127623,"1.000","8.00"
249,13394,"2025-08-22 00:00:00",18,"Changed mind",36122,"1.000","9.75"
250,22798,"2025-03-26 00:00:00",14,"Changed mind",61212,"2.000","14.00"
251,32639,"2025-01-01 00:00:00",3,"Changed mind",87748,"1.000","4.50"
252,24718,"2025-02-15 00:00:00",14,"Changed mind",66432,"2.000","3.78"
253,2089,"2025-06-16 00:00:00",47,"Defective",5594,"1.000","13.99"
254,29332,"2025-02-24 00:00:00",14,"Changed mind",78760,"1.000","8.00"
255,26945,"2025-01-27 00:00:00",24,"Defective",72425,"1.000","4.00"
256,30077,"2025-03-17 00:00:00",18,"Defective",80849,"1.000","1.50"
257,15143,"2025-02-11 00:00:00",3,"Defective",40715,"1.000","6.50"
258,2671,"2025-02-11 00:00:00",28,"Wrong item",7140,"2.000","11.99"
259,25762,"2025-08-04 00:00:00",7,"Other",69246,"1.000","3.10"
260,38954,"2025-04-21 00:00:00",14,"Changed mind",104840,"2.000","9.00"
261,24651,"2025-02-22 00:00:00",38,"Other",66256,"2.000","10.00"
262,2266,"2025-05-11 00:00:00",38,"Defective",6066,"1.000","20.00"
263,12126,"2025-07-01 00:00:00",24,"Quality/Expired",32673,"2.000","4.00"
264,11775,"2025-06-28 00:00:00",24,"Wrong item",31744,"2.000","20.00"
265,28158,"2025-04-25 00:00:00",38,"Changed mind",75650,"2.000","31.00"
266,22104,"2025-08-12 00:00:00",18,"Quality/Expired",59399,"2.000","51.00"
267,11443,"2025-06-19 00:00:00",38,"Quality/Expired",30865,"2.000","9.00"
268,5389,"2025-03-31 00:00:00",46,"Changed mind",14453,"2.000","3.00"
269,35452,"2025-08-12 00:00:00",40,"Defective",95419,"3.000","6.00"
270,14782,"2025-04-28 00:00:00",14,"Quality/Expired",39765,"1.000","3.50"
271,21459,"2025-07-18 00:00:00",3,"Changed mind",57660,"1.000","0.20"
272,25175,"2025-04-11 00:00:00",38,"Other",67677,"2.000","5.00"
273,22258,"2025-03-22 00:00:00",38,"Changed mind",59816,"1.000","4.40"
274,575,"2025-05-08 00:00:00",47,"Wrong item",1546,"2.000","3.38"
275,15583,"2025-03-22 00:00:00",18,"Changed mind",41918,"2.000","2.00"
276,41563,"2025-02-19 00:00:00",40,"Changed mind",111906,"1.000","2.30"
277,22743,"2025-03-20 00:00:00",38,"Changed mind",61070,"4.000","5.52"
278,27328,"2025-01-22 00:00:00",3,"Defective",73438,"2.000","7.00"
279,38981,"2025-07-07 00:00:00",38,"Defective",104912,"4.000","40.00"
280,7046,"2025-06-19 00:00:00",3,"Other",18985,"5.000","12.50"
281,1480,"2025-07-20 00:00:00",3,"Defective",3964,"1.000","3.00"
282,15374,"2025-01-28 00:00:00",14,"Changed mind",41350,"2.000","5.00"
283,23894,"2025-05-22 00:00:00",46,"Changed mind",64197,"1.000","6.00"
284,10858,"2025-02-03 00:00:00",24,"Changed mind",29238,"2.000","9.78"
285,38903,"2025-08-14 00:00:00",24,"Other",104693,"3.000","25.76"
286,4946,"2025-05-19 00:00:00",47,"Quality/Expired",13290,"1.000","9.24"
287,43071,"2025-05-14 00:00:00",47,"Defective",115915,"1.000","91.86"
288,2529,"2025-03-06 00:00:00",38,"Changed mind",6777,"1.000","2.85"
289,34419,"2025-05-19 00:00:00",14,"Defective",92600,"2.000","9.00"
290,29527,"2025-01-29 00:00:00",38,"Wrong item",79308,"2.000","9.00"
291,8788,"2025-05-12 00:00:00",24,"Defective",23669,"2.000","1.60"
292,47644,"2025-02-04 00:00:00",40,"Other",128285,"1.000","1.50"
293,42860,"2025-08-06 00:00:00",3,"Defective",115355,"1.000","21.00"
294,25192,"2025-06-15 00:00:00",3,"Defective",67724,"2.000","8.40"
295,34527,"2025-05-21 00:00:00",24,"Quality/Expired",92893,"2.000","18.63"
296,40115,"2025-02-02 00:00:00",24,"Quality/Expired",107981,"1.000","20.00"
297,19392,"2025-04-17 00:00:00",7,"Wrong item",52145,"1.000","1.60"
298,38532,"2025-04-20 00:00:00",24,"Quality/Expired",103718,"1.000","7.00"
299,41413,"2025-01-26 00:00:00",14,"Changed mind",111519,"1.000","7.00"
300,24406,"2025-03-04 00:00:00",40,"Quality/Expired",65607,"1.000","9.50"
301,10291,"2025-03-28 00:00:00",7,"Changed mind",27720,"1.000","2.50"
302,45261,"2025-04-20 00:00:00",40,"Other",121840,"2.000","8.50"
303,12736,"2025-04-08 00:00:00",40,"Defective",34330,"1.000","4.00"
304,20627,"2025-03-25 00:00:00",28,"Wrong item",55423,"1.000","12.00"
305,28366,"2025-03-12 00:00:00",38,"Defective",76210,"2.000","12.00"
306,6312,"2025-06-25 00:00:00",3,"Quality/Expired",16970,"1.000","9.00"
307,40324,"2025-07-28 00:00:00",18,"Changed mind",108538,"2.000","5.00"
308,35429,"2025-05-13 00:00:00",24,"Quality/Expired",95363,"1.000","7.00"
309,24226,"2025-02-18 00:00:00",7,"Changed mind",65124,"3.000","13.50"
310,37015,"2025-03-29 00:00:00",18,"Defective",99619,"2.000","8.69"
311,7334,"2025-08-09 00:00:00",47,"Other",19746,"1.000","6.50"
312,19869,"2025-07-10 00:00:00",40,"Changed mind",53444,"1.000","5.70"
313,46216,"2025-02-10 00:00:00",47,"Quality/Expired",124439,"2.000","4.70"
314,11689,"2025-07-25 00:00:00",28,"Other",31527,"2.000","12.00"
315,5464,"2025-04-02 00:00:00",38,"Defective",14656,"2.000","18.10"
316,11708,"2025-04-06 00:00:00",38,"Changed mind",31577,"1.000","9.00"
317,32466,"2025-01-26 00:00:00",38,"Defective",87278,"1.000","2.50"
318,17159,"2025-06-25 00:00:00",47,"Defective",46150,"1.000","4.00"
319,46651,"2025-07-10 00:00:00",47,"Defective",125650,"1.000","4.00"
320,12463,"2025-06-29 00:00:00",46,"Quality/Expired",33574,"3.000","4.50"
321,15380,"2025-05-03 00:00:00",46,"Defective",41364,"2.000","18.00"
322,35610,"2025-01-04 00:00:00",7,"Quality/Expired",95838,"2.000","2.79"
323,25866,"2025-03-09 00:00:00",14,"Defective",69523,"1.000","2.50"
324,42874,"2025-07-21 00:00:00",46,"Quality/Expired",115396,"1.000","3.50"
325,24478,"2025-07-21 00:00:00",38,"Quality/Expired",65797,"1.000","4.50"
326,27959,"2025-03-08 00:00:00",24,"Quality/Expired",75119,"3.000","9.00"
327,29754,"2025-07-10 00:00:00",47,"Quality/Expired",79936,"1.000","3.00"
328,3652,"2025-08-05 00:00:00",38,"Changed mind",9789,"3.000","18.00"
329,33588,"2025-06-04 00:00:00",28,"Wrong item",90377,"1.000","6.00"
330,28910,"2025-07-15 00:00:00",47,"Defective",77645,"3.000","12.00"
331,22023,"2025-07-15 00:00:00",47,"Changed mind",59174,"3.000","8.40"
332,12213,"2025-05-04 00:00:00",3,"Defective",32903,"2.000","5.00"
333,35900,"2025-04-24 00:00:00",46,"Wrong item",96600,"2.000","11.00"
334,28747,"2025-07-12 00:00:00",3,"Changed mind",77212,"4.000","16.00"
335,30238,"2025-01-21 00:00:00",38,"Quality/Expired",81264,"3.000","15.00"
336,12219,"2025-03-12 00:00:00",3,"Quality/Expired",32919,"2.000","3.80"
337,40796,"2025-05-30 00:00:00",46,"Changed mind",109834,"1.000","2.15"
338,15929,"2025-02-09 00:00:00",46,"Defective",42851,"1.000","4.70"
339,23345,"2025-04-06 00:00:00",24,"Other",62715,"2.000","40.00"
340,34406,"2025-07-04 00:00:00",7,"Other",92562,"1.000","2.00"
341,6712,"2025-05-02 00:00:00",18,"Wrong item",18080,"4.000","16.00"
342,22051,"2025-05-31 00:00:00",7,"Other",59257,"1.000","6.00"
343,11462,"2025-03-24 00:00:00",24,"Defective",30918,"2.000","3.50"
