"store_id","product_sku","quantity_in_stock","reorder_threshold"
1,"11-053-0107",411,50
1,"11-073-0189",300,50
1,"11-155-7826",281,25
1,"11-316-8405",249,50
1,"11-325-7396",409,50
1,"11-338-4598",355,50
1,"11-581-9869",350,50
1,"11-604-6002",303,20
1,"11-733-1756",369,40
1,"11-745-3025",384,50
1,"11-766-8738",295,50
1,"11-815-7923",411,20
1,"11-891-8213",287,20
1,"11-922-3342",259,25
1,"12-046-2988",280,20
1,"12-093-9863",389,40
1,"12-239-9399",364,50
1,"12-342-4482",274,35
1,"12-439-8428",352,50
1,"12-714-5135",286,20
1,"12-798-9401",391,20
1,"12-828-1063",297,20
1,"13-144-2169",323,50
1,"13-202-4809",427,50
1,"13-409-9040",344,25
1,"13-673-7016",295,50
1,"13-798-3397",408,20
1,"13-844-2178",392,35
1,"13-888-0149",276,50
1,"13-900-9016",292,50
1,"13-962-6263",423,50
1,"13-980-8804",360,50
1,"14-115-8371",385,20
1,"14-305-5348",419,20
1,"14-305-9690",320,40
1,"14-331-3739",226,20
1,"14-489-8669",341,40
1,"14-521-4167",284,20
1,"14-550-2152",338,25
1,"14-681-7035",323,25
1,"14-836-2894",262,50
1,"14-844-4138",338,25
1,"15-045-8444",325,25
1,"15-082-9124",435,50
1,"15-144-9413",373,50
1,"15-169-8058",419,40
1,"15-240-6267",296,50
1,"15-562-3712",299,50
1,"15-679-3935",343,50
1,"15-762-1058",358,50
1,"15-796-3130",387,20
1,"15-797-4824",324,50
1,"15-846-7959",362,50
1,"15-884-7413",304,50
1,"15-905-7750",285,50
1,"15-907-3681",269,50
1,"16-187-5729",310,25
1,"16-354-8122",430,20
1,"16-380-0753",379,50
1,"16-499-5059",411,50
1,"17-002-4721",442,50
1,"17-022-9721",250,50
1,"17-236-0566",339,50
1,"17-253-5688",335,20
1,"17-265-1899",449,50
1,"17-274-6898",329,20
1,"17-395-1121",288,50
1,"17-493-4579",282,40
1,"17-504-3699",263,50
1,"18-107-7886",316,20
1,"18-199-5799",408,20
1,"18-278-2383",360,20
1,"19-021-5024",378,50
1,"19-047-4239",358,50
1,"19-112-1616",381,50
1,"19-214-5762",406,50
1,"19-244-9890",415,25
1,"19-323-0506",427,35
1,"19-377-5021",366,35
1,"19-610-2236",294,20
1,"19-672-8982",282,20
1,"19-854-3663",323,50
1,"19-967-0632",293,40
1,"20-022-3173",372,40
1,"20-031-0532",320,50
1,"20-054-3716",305,20
1,"20-225-3930",397,25
1,"20-283-0111",337,50
1,"20-325-1965",426,50
1,"20-387-7746",317,40
1,"20-405-4865",443,20
1,"20-448-2972",268,50
1,"21-120-6238",385,40
1,"21-252-1360",416,20
1,"21-633-8696",261,40
1,"21-650-9319",401,20
1,"21-693-8216",280,20
1,"21-718-6746",263,50
1,"21-809-7115",268,40
1,"21-816-1004",437,25
1,"21-890-2826",412,20
1,"21-993-5632",360,50
1,"22-083-3347",419,40
1,"22-141-9798",414,40
1,"22-266-9291",338,35
1,"22-319-1377",328,40
1,"22-329-7791",336,50
1,"22-621-2774",346,50
1,"22-760-4605",254,20
1,"22-778-3553",278,20
1,"22-849-2551",258,50
1,"22-895-6595",257,40
1,"23-070-2433",421,40
1,"23-395-3157",367,20
1,"24-009-1208",365,25
1,"24-143-4957",283,20
1,"24-228-6840",254,25
1,"24-310-9184",379,20
1,"24-364-3341",303,20
1,"24-571-1080",361,50
1,"24-579-6500",439,35
1,"24-972-6969",324,20
1,"24-975-4231",307,50
1,"24-986-5091",374,20
1,"24-989-3302",445,50
1,"25-010-9478",404,50
1,"25-349-7974",249,50
1,"25-353-2067",240,50
1,"25-522-6043",303,20
1,"25-911-7736",348,50
1,"26-000-1012",358,20
1,"26-010-9519",301,35
1,"26-031-8070",339,20
1,"26-134-9069",311,20
1,"26-161-6692",405,50
1,"26-177-5690",449,50
1,"26-456-1992",433,35
1,"26-629-5920",422,20
1,"26-690-3784",294,50
1,"26-799-3714",234,25
1,"27-216-9671",406,20
1,"27-262-2437",339,20
1,"27-269-5260",313,50
1,"27-387-0428",281,35
1,"27-389-3529",339,35
1,"27-442-3654",353,25
1,"27-459-0724",362,20
1,"27-474-0056",427,50
1,"27-495-1912",322,50
1,"27-635-8394",356,50
1,"27-681-5588",398,35
1,"27-757-4489",274,20
1,"27-783-5470",341,20
1,"28-003-8065",291,40
1,"28-008-2951",416,50
1,"28-044-4102",431,50
1,"28-107-4953",415,20
1,"28-146-2641",314,20
1,"28-185-7303",243,25
1,"28-197-9246",388,40
1,"28-275-5901",294,35
1,"28-433-8533",409,20
1,"28-505-8317",425,50
1,"28-608-0039",231,50
1,"28-824-9017",429,35
1,"28-840-6096",287,50
1,"28-956-1320",430,20
1,"28-968-4195",349,50
1,"28-986-8001",324,50
1,"29-017-6255",388,50
1,"29-092-3453",407,50
1,"29-135-0791",255,40
1,"29-205-1132",218,40
1,"29-344-3658",259,50
1,"29-377-7040",261,40
1,"29-592-7315",337,40
1,"29-741-8132",375,50
1,"29-756-7042",233,20
1,"29-823-6004",271,50
1,"29-875-6900",320,50
1,"29-896-7926",328,40
1,"30-429-2162",407,40
1,"30-591-7275",412,40
1,"30-806-3823",249,40
1,"30-832-5429",398,20
1,"30-964-2694",390,50
1,"30-996-2526",391,50
1,"31-157-1822",383,20
1,"31-211-5803",410,20
1,"31-255-9616",365,35
1,"31-387-5020",412,20
1,"31-403-6234",438,35
1,"31-608-1445",396,50
1,"31-627-6025",344,20
1,"31-745-6850",332,50
1,"31-746-4951",435,40
1,"31-803-5001",415,50
1,"32-261-0008",300,20
1,"32-270-1385",360,50
1,"32-676-1026",372,35
1,"32-933-0329",420,50
1,"32-987-5559",258,25
1,"33-335-9140",431,20
1,"33-378-1365",349,20
1,"33-440-2588",263,50
1,"33-507-9886",331,50
1,"33-670-6797",401,35
1,"33-807-7247",291,20
1,"34-075-0371",295,50
1,"34-086-3222",343,50
1,"34-110-1040",242,50
1,"34-131-8805",373,20
1,"34-291-4939",256,20
1,"34-369-7712",305,50
1,"34-538-1180",415,20
1,"34-547-0827",339,40
1,"34-709-9237",368,50
1,"34-861-4446",254,20
1,"34-928-2775",413,50
1,"35-031-1497",440,25
1,"35-257-9312",252,20
1,"35-299-0889",335,20
1,"35-328-8392",301,40
1,"35-353-4068",356,40
1,"35-529-2933",260,50
1,"35-621-2546",312,20
1,"35-835-5591",434,35
1,"35-836-6718",302,20
1,"36-127-4273",259,20
1,"36-177-0573",250,20
1,"36-296-9609",391,20
1,"36-330-5036",308,35
1,"36-372-2295",267,40
1,"36-383-3677",385,20
1,"36-531-4087",291,40
1,"36-636-4873",322,40
1,"36-679-4670",339,50
1,"36-840-2728",289,35
1,"36-899-5324",345,50
1,"36-918-2937",261,25
1,"37-064-7275",391,25
1,"37-246-0018",330,50
1,"37-248-6266",243,50
1,"37-567-3218",333,40
1,"37-606-0510",269,20
1,"37-610-1999",333,35
1,"37-666-3902",387,50
1,"37-709-3532",406,50
1,"38-049-9319",305,20
1,"38-296-6634",306,50
1,"38-390-2115",322,50
1,"38-417-4656",304,40
1,"38-555-9147",310,25
1,"38-617-7226",256,50
1,"38-655-2312",393,50
1,"38-664-2155",237,50
1,"38-732-7667",412,50
1,"38-822-8005",389,50
1,"38-924-3007",317,50
1,"39-192-3521",267,25
1,"39-232-5341",425,40
1,"39-358-3340",331,40
1,"39-449-0772",381,20
1,"39-629-5554",342,20
1,"39-768-8205",340,20
1,"39-810-2042",383,40
1,"39-913-2999",335,20
1,"40-003-7322",402,40
1,"40-021-2400",387,50
1,"40-126-0515",434,50
1,"40-205-8252",324,20
1,"40-462-2952",311,35
1,"40-630-1431",301,50
1,"40-681-9981",438,25
1,"40-683-0283",310,40
1,"40-751-8635",275,50
1,"40-793-7235",433,20
1,"40-795-0753",445,40
1,"40-810-9261",273,25
1,"40-902-1995",281,50
1,"40-913-9772",253,20
1,"40-997-2786",349,20
1,"41-131-3841",402,40
1,"41-240-8856",415,35
1,"41-316-8427",360,40
1,"41-475-5305",289,20
1,"41-526-4036",282,20
1,"41-538-3129",293,20
1,"41-594-5069",446,20
1,"41-729-5410",269,35
1,"41-735-9837",351,25
1,"42-134-9798",437,20
1,"42-141-5718",235,20
1,"42-175-1648",245,50
1,"42-220-9305",324,40
1,"42-495-7698",240,40
1,"42-674-3917",280,40
1,"42-879-9478",427,35
1,"42-887-6557",370,40
1,"42-907-6946",412,20
1,"43-153-8268",405,20
1,"43-164-5984",441,20
1,"43-193-9915",400,20
1,"43-469-7551",352,25
1,"43-670-8544",381,50
1,"43-693-2092",264,20
1,"43-851-9440",261,50
1,"43-893-5408",411,40
1,"43-910-2342",339,50
1,"44-112-3331",300,35
1,"44-128-2185",441,40
1,"44-305-1866",258,20
1,"44-408-7594",427,50
1,"44-476-0390",299,50
1,"44-480-9446",287,20
1,"44-538-3366",413,35
1,"44-546-5713",338,50
1,"44-552-3909",318,50
1,"44-634-8292",253,40
1,"44-637-5512",271,50
1,"44-782-1395",323,40
1,"45-050-4720",338,40
1,"45-172-7012",259,50
1,"45-194-4094",395,50
1,"45-250-4679",422,40
1,"45-317-9731",361,20
1,"45-380-4627",377,50
1,"45-402-0421",258,20
1,"45-634-0679",391,35
1,"45-852-2446",268,35
1,"45-992-5653",430,40
1,"46-083-7058",435,35
1,"46-255-3073",370,35
1,"46-415-8633",254,50
1,"46-436-5351",349,25
1,"46-452-9419",267,20
1,"46-496-2930",260,50
1,"46-520-1819",319,40
1,"46-622-3434",355,40
1,"46-632-8420",386,20
1,"46-753-8430",422,20
1,"46-931-6897",374,20
1,"47-221-2470",354,50
1,"47-221-3391",409,25
1,"47-441-7682",351,20
1,"47-548-6500",360,50
1,"47-554-5780",265,35
1,"47-578-4161",307,35
1,"47-581-0363",414,20
1,"47-663-5703",227,40
1,"47-749-3277",396,40
1,"47-802-5023",343,35
1,"47-843-8207",265,50
1,"47-866-6589",419,20
1,"48-193-1199",422,20
1,"48-242-8445",258,50
1,"48-289-0604",390,20
1,"48-414-6162",400,25
1,"48-427-0551",368,25
1,"48-461-3742",262,50
1,"48-770-6319",328,20
1,"48-789-9187",365,50
1,"48-957-6116",369,50
1,"48-957-8596",280,50
1,"49-199-6836",285,50
1,"49-311-3063",287,50
1,"49-377-9731",289,50
1,"49-570-8214",291,20
1,"49-579-4325",431,20
1,"49-730-0159",415,20
1,"49-861-7823",361,50
1,"49-891-4927",452,20
1,"49-919-8798",407,20
1,"50-329-3145",214,20
1,"50-329-3360",287,40
1,"50-364-5828",353,50
1,"50-772-2613",257,20
1,"50-930-4751",392,35
1,"50-942-2409",387,50
1,"51-000-8113",350,25
1,"51-069-0489",392,40
1,"51-273-4240",247,20
1,"51-312-8608",308,20
1,"51-462-0747",395,50
1,"51-469-4611",253,40
1,"51-572-5497",290,50
1,"51-583-6029",346,20
1,"51-761-6320",411,20
1,"51-934-9117",354,35
1,"52-029-2382",389,20
1,"52-123-8039",296,50
1,"52-392-5312",290,40
1,"52-402-9245",327,50
1,"52-481-5224",276,50
1,"52-797-6961",326,35
1,"53-008-2419",342,40
1,"53-050-8242",383,35
1,"53-080-8252",430,20
1,"53-146-9979",299,40
1,"53-151-5726",328,50
1,"53-446-8243",241,50
1,"53-667-4109",407,50
1,"53-680-5293",428,20
1,"53-710-7630",342,40
1,"53-805-9523",380,20
1,"53-930-2215",354,20
1,"54-109-8062",299,40
1,"54-281-3746",305,50
1,"54-708-7327",254,40
1,"54-758-4622",422,20
1,"54-822-9009",275,40
1,"54-830-6971",387,35
1,"55-522-8242",336,20
1,"55-631-7937",298,20
1,"55-680-0982",276,25
1,"55-803-3964",427,40
1,"55-936-2406",286,40
1,"56-054-8664",306,50
1,"56-191-6497",327,40
1,"56-213-0577",295,50
1,"56-303-5256",305,40
1,"56-635-6764",321,20
1,"56-657-4387",235,20
1,"56-668-5370",394,20
1,"56-810-0550",343,35
1,"56-831-6199",297,35
1,"56-875-3717",289,40
1,"56-894-3733",400,20
1,"56-937-8675",350,20
1,"57-101-0060",418,40
1,"57-359-3397",215,50
1,"57-394-1587",389,40
1,"57-394-4703",457,25
1,"57-437-1828",338,50
1,"57-562-2358",321,25
1,"57-613-5779",433,20
1,"57-763-5501",265,35
1,"57-779-4955",346,40
1,"57-861-4379",344,20
1,"57-903-6434",347,50
1,"58-005-5343",246,50
1,"58-063-8633",256,50
1,"58-122-2282",247,25
1,"58-182-6781",417,20
1,"58-219-0241",320,20
1,"58-229-1358",269,20
1,"58-946-5152",297,40
1,"59-075-2457",328,20
1,"59-857-6577",247,20
1,"60-198-7050",394,25
1,"60-285-3783",296,50
1,"60-311-5701",280,20
1,"60-327-4114",381,20
1,"60-343-3288",386,35
1,"60-343-7973",437,20
1,"60-456-8169",344,20
1,"60-550-4771",342,35
1,"60-632-8752",358,20
1,"60-644-6596",268,35
1,"60-747-8704",393,50
1,"60-771-0879",359,50
1,"60-911-3745",387,40
1,"61-293-6327",279,35
1,"61-317-9944",440,20
1,"61-582-7399",246,50
1,"61-680-9496",425,50
1,"61-796-6540",316,20
1,"61-801-8665",332,25
1,"61-827-4098",390,35
1,"62-100-2245",322,20
1,"62-393-9939",246,20
1,"62-509-0666",260,40
1,"62-777-6010",272,40
1,"62-795-7801",345,20
1,"62-816-8794",317,40
1,"62-998-7250",392,20
1,"63-162-9244",297,50
1,"63-168-6018",290,50
1,"63-270-7076",258,20
1,"63-822-5278",405,50
1,"63-874-9747",288,50
1,"63-890-1246",417,20
1,"63-897-8088",380,50
1,"63-918-8253",286,50
1,"63-936-0145",404,50
1,"63-956-0739",254,25
1,"64-109-7362",266,35
1,"64-119-7804",403,50
1,"64-418-8356",255,20
1,"64-478-4745",312,50
1,"64-493-5270",455,20
1,"64-854-8664",340,20
1,"65-145-9672",239,40
1,"65-235-7676",281,20
1,"65-282-0419",372,25
1,"65-368-2479",249,20
1,"65-464-5070",311,20
1,"65-527-9488",430,50
1,"65-644-1394",360,50
1,"65-674-6076",415,20
1,"65-718-0492",297,20
1,"65-759-3721",327,20
1,"65-780-5622",304,20
1,"65-854-9364",324,40
1,"65-867-4029",279,50
1,"66-268-8345",378,20
1,"66-312-5511",267,35
1,"66-378-7532",421,50
1,"66-627-9752",306,35
1,"66-716-8221",418,20
1,"66-806-6051",390,20
1,"66-854-5736",430,50
1,"66-993-4234",337,50
1,"67-025-1245",273,50
1,"67-027-7269",394,50
1,"67-130-4114",303,50
1,"67-248-6306",362,50
1,"67-270-7464",359,40
1,"67-382-4435",308,50
1,"67-473-7093",268,25
1,"67-512-9754",260,20
1,"67-546-1568",390,20
1,"67-625-9704",374,35
1,"67-710-5120",279,40
1,"67-725-6830",421,40
1,"67-984-5368",371,20
1,"68-418-6724",302,20
1,"68-436-1268",395,20
1,"68-636-4774",352,50
1,"68-732-5919",402,40
1,"68-734-1585",272,50
1,"68-761-6907",278,50
1,"68-977-2498",416,50
1,"68-977-6854",405,50
1,"69-171-1305",243,40
1,"69-287-9113",339,50
1,"69-468-5468",277,20
1,"69-561-2496",453,50
1,"69-578-7930",383,40
1,"69-674-5387",449,20
1,"69-743-0161",400,40
1,"70-005-5970",248,50
1,"70-145-2550",245,50
1,"70-149-6756",422,20
1,"70-206-4860",366,20
1,"70-534-7796",309,50
1,"70-542-4269",322,20
1,"70-587-1204",294,40
1,"70-612-2531",237,50
1,"70-815-4015",369,20
1,"70-854-6891",425,20
1,"70-871-4536",281,20
1,"71-015-9181",245,50
1,"71-067-3278",263,35
1,"71-074-6292",332,20
1,"71-085-4290",332,50
1,"71-300-2191",371,50
1,"71-436-5841",411,50
1,"71-516-1996",340,20
1,"71-594-6552",369,40
1,"71-631-5875",325,35
1,"71-954-4501",353,35
1,"71-999-2404",401,50
1,"72-066-4597",335,50
1,"72-341-1154",327,20
1,"72-780-6006",278,20
1,"72-970-0239",333,20
1,"72-989-2512",272,50
1,"73-010-8323",421,35
1,"73-117-6105",355,40
1,"73-118-1117",275,20
1,"73-401-5721",339,35
1,"73-561-2867",407,20
1,"73-567-6194",425,20
1,"73-751-4393",259,50
1,"73-874-7534",299,50
1,"73-942-0508",325,50
1,"73-997-6251",344,50
1,"74-132-5528",307,50
1,"74-181-4135",357,20
1,"74-234-0628",383,40
1,"74-294-3760",339,20
1,"74-305-1263",226,25
1,"74-404-0582",267,50
1,"74-430-8245",405,50
1,"74-562-7431",442,20
1,"74-587-2065",349,50
1,"74-610-2295",397,25
1,"74-642-2435",289,50
1,"74-666-5671",436,35
1,"74-711-7160",430,40
1,"74-818-3306",386,50
1,"74-845-3299",294,25
1,"75-029-9003",299,20
1,"75-080-4909",263,20
1,"75-094-1179",313,20
1,"75-152-8731",418,50
1,"75-672-4378",261,50
1,"75-927-9108",273,50
1,"76-027-4850",423,50
1,"76-070-1411",255,20
1,"76-090-4411",404,20
1,"76-264-0748",286,50
1,"76-325-9093",397,20
1,"76-340-4432",334,50
1,"76-401-7083",285,50
1,"76-459-2392",394,20
1,"76-476-9996",357,20
1,"76-540-6407",262,50
1,"76-584-4790",338,20
1,"76-623-7844",430,20
1,"76-854-0095",438,40
1,"76-954-1442",355,25
1,"77-013-1553",424,20
1,"77-224-2227",369,40
1,"77-312-6317",376,50
1,"77-377-1659",407,40
1,"77-777-4536",340,40
1,"77-827-0820",295,20
1,"77-937-1108",437,40
1,"77-959-1018",389,50
1,"78-237-0277",403,25
1,"78-362-8578",355,50
1,"78-614-4402",377,50
1,"78-689-8958",400,25
1,"78-953-2073",251,20
1,"78-956-4737",291,40
1,"79-136-9840",295,25
1,"79-350-5841",234,40
1,"79-400-6216",316,20
1,"79-428-8753",372,50
1,"79-494-2472",410,50
1,"79-569-8856",320,20
1,"79-741-0770",427,50
1,"79-884-8810",389,50
1,"79-920-2395",428,50
1,"80-020-8041",419,40
1,"80-025-6757",316,50
1,"80-039-1261",302,50
1,"80-072-8774",228,35
1,"80-227-6886",276,50
1,"80-334-0215",309,50
1,"80-371-3695",434,20
1,"80-375-9075",338,20
1,"80-441-7249",300,40
1,"80-459-5950",278,25
1,"80-658-6456",262,50
1,"80-698-0324",240,20
1,"80-988-4653",343,50
1,"81-268-5905",370,35
1,"81-354-4203",265,35
1,"81-573-0943",330,20
1,"81-578-7404",317,20
1,"81-605-6246",349,35
1,"81-844-2979",397,50
1,"82-041-7211",240,20
1,"82-231-4245",453,40
1,"82-243-3180",231,20
1,"82-342-7339",407,20
1,"82-380-5378",294,20
1,"82-395-5070",430,20
1,"82-538-4809",420,50
1,"82-678-8097",305,20
1,"82-711-0772",385,20
1,"82-811-7988",409,20
1,"82-931-7126",249,50
1,"82-948-2298",369,50
1,"82-977-7752",269,50
1,"83-108-1174",291,20
1,"83-117-7658",343,50
1,"83-321-7887",249,20
1,"83-400-9746",383,20
1,"83-556-0996",351,40
1,"83-568-3475",299,35
1,"83-573-4586",324,20
1,"83-625-3618",281,50
1,"83-704-6367",376,25
1,"83-716-2177",428,35
1,"83-727-0814",447,40
1,"83-763-5038",379,20
1,"83-917-7384",370,50
1,"83-966-3280",367,35
1,"84-075-7647",381,20
1,"84-151-2114",347,40
1,"84-198-7276",454,20
1,"84-269-9130",337,40
1,"84-272-0790",355,50
1,"84-327-7787",355,20
1,"84-546-7624",378,50
1,"84-624-0201",320,40
1,"84-629-1532",412,25
1,"85-207-4164",306,50
1,"85-212-2729",281,20
1,"85-237-3505",252,25
1,"85-440-3667",419,20
1,"85-510-2915",248,20
1,"85-561-4694",279,50
1,"85-781-5386",369,35
1,"85-806-0613",319,20
1,"85-806-8672",428,25
1,"85-835-3445",379,20
1,"86-257-4613",334,40
1,"86-273-9377",354,40
1,"86-482-6451",382,25
1,"86-672-4191",379,20
1,"86-692-2312",300,20
1,"86-978-6666",441,40
1,"87-013-6488",405,40
1,"87-097-5691",287,25
1,"87-104-0187",302,40
1,"87-199-2743",448,50
1,"87-272-6544",325,20
1,"87-391-9658",456,20
1,"87-423-8486",353,40
1,"87-675-1506",310,50
1,"87-698-0944",358,50
1,"87-762-1317",371,20
1,"87-791-5803",274,35
1,"87-903-3486",253,20
1,"87-997-0228",306,50
1,"88-069-5486",400,35
1,"88-183-5781",355,20
1,"88-304-2855",415,50
1,"88-401-3700",387,50
1,"88-408-0310",276,20
1,"88-586-8797",343,50
1,"88-746-9468",294,50
1,"88-807-8431",358,35
1,"88-951-9038",294,25
1,"88-977-0175",328,20
1,"89-181-4523",378,40
1,"89-328-9019",255,40
1,"89-335-0155",316,40
1,"89-388-3239",366,50
1,"89-543-3456",381,50
1,"89-602-6755",257,20
1,"89-624-7462",279,50
1,"89-673-1543",304,20
1,"89-922-4773",277,40
1,"90-128-7973",416,40
1,"90-230-9767",446,40
1,"90-303-1821",248,50
1,"90-343-9640",246,20
1,"90-492-0564",249,50
1,"90-737-0044",445,40
1,"90-865-9150",307,40
1,"91-105-7317",295,50
1,"91-127-7489",426,50
1,"91-257-3672",311,35
1,"91-290-9062",351,20
1,"91-417-0366",254,50
1,"91-426-3204",320,35
1,"91-553-1774",303,20
1,"91-848-0606",289,50
1,"92-152-5820",274,25
1,"92-291-7089",440,20
1,"92-362-3567",334,50
1,"92-455-2959",253,25
1,"92-551-8504",396,40
1,"92-652-3737",367,50
1,"92-791-0606",344,40
1,"92-837-8839",316,20
1,"92-995-8689",410,20
1,"93-014-4256",277,50
1,"93-015-0811",414,50
1,"93-166-3169",440,25
1,"93-198-5984",280,50
1,"93-342-8794",315,40
1,"93-571-7294",337,40
1,"93-682-2069",417,50
1,"93-772-3085",299,50
1,"93-813-2419",247,20
1,"93-966-7754",416,50
1,"94-020-6982",240,35
1,"94-071-2261",283,50
1,"94-092-3355",241,50
1,"94-190-5193",253,50
1,"94-355-3070",270,35
1,"94-525-6925",355,20
1,"94-528-8088",405,35
1,"94-598-3383",424,40
1,"94-658-4945",324,50
1,"95-090-2788",463,20
1,"95-252-9619",286,50
1,"95-262-6208",429,25
1,"95-354-8583",345,40
1,"95-356-1566",400,50
1,"95-357-2870",344,40
1,"95-449-1286",432,20
1,"95-640-0293",398,40
1,"95-738-4658",336,25
1,"96-209-1739",321,20
1,"96-316-7600",404,50
1,"96-334-2593",452,25
1,"96-503-7712",334,20
1,"96-682-8546",349,20
1,"96-774-0457",384,35
1,"96-961-2193",267,40
1,"97-040-3822",253,20
1,"97-093-4278",239,20
1,"97-283-4840",398,20
1,"97-300-7511",308,20
1,"97-710-2449",276,20
1,"97-772-2336",439,50
1,"98-064-4465",372,20
1,"98-148-0940",399,20
1,"98-235-2711",238,50
1,"98-445-7372",427,35
1,"98-499-2220",283,20
1,"98-546-7398",311,20
1,"98-556-5323",325,50
1,"98-575-4736",310,50
1,"98-652-9569",446,20
1,"98-858-6323",249,20
1,"98-909-9395",421,20
1,"99-033-5661",382,40
1,"99-048-8310",298,50
1,"99-137-1730",223,40
1,"99-194-5600",329,50
1,"99-420-3592",435,20
1,"99-543-5039",236,50
1,"99-561-4871",345,35
1,"99-894-4351",386,40
1,"99-961-0767",338,20
2,"00-119-8780",304,35
2,"00-215-7434",308,20
2,"00-357-2313",219,20
2,"00-366-9496",399,50
2,"00-440-9568",259,50
2,"00-534-9775",249,25
2,"00-641-8691",263,25
2,"00-842-9790",251,20
2,"00-963-2193",356,20
2,"01-018-6418",278,20
2,"01-026-2772",379,50
2,"01-050-2246",398,50
2,"01-144-5960",281,35
2,"01-173-0029",364,50
2,"01-439-6231",365,20
2,"01-703-8441",232,40
2,"01-820-5784",261,20
2,"01-839-6534",262,40
2,"01-903-5373",338,50
2,"02-085-7218",392,20
2,"02-170-5225",361,40
2,"02-275-6061",382,50
2,"02-484-0206",241,40
2,"02-508-3777",329,20
2,"02-559-8196",421,50
2,"02-575-1980",349,50
2,"02-655-3240",428,40
2,"02-888-9412",296,50
2,"02-895-7781",421,40
2,"02-920-4829",427,20
2,"03-043-9933",312,50
2,"03-061-1344",337,35
2,"03-276-3931",299,50
2,"03-441-4252",353,20
2,"03-597-9488",354,20
2,"03-833-3577",226,50
2,"03-919-9890",331,35
2,"03-940-0630",367,20
2,"04-001-1793",417,25
2,"04-038-1547",354,20
2,"04-104-6993",272,20
2,"04-240-2226",290,20
2,"04-277-5245",261,40
2,"04-293-6969",315,50
2,"04-453-5485",310,50
2,"04-542-3863",305,40
2,"04-758-0410",251,40
2,"05-184-4175",247,25
2,"05-193-8096",312,50
2,"05-334-2923",299,40
2,"05-498-7751",302,50
2,"05-720-8792",273,50
2,"05-899-1428",278,20
2,"06-068-6793",222,20
2,"06-336-5482",309,35
2,"06-340-6856",246,40
2,"06-503-5891",307,20
2,"06-611-5454",233,20
2,"06-655-5498",248,40
2,"06-690-2335",372,40
2,"06-731-2162",294,50
2,"06-797-4963",410,50
