"purchase_product_id","purchase_order_id","vendor_product_id","quantity_purchased","actual_unit_cost"
523,11,31,485,"3.57"
524,558,1005,474,"5.20"
525,1454,2084,427,"1.25"
526,1907,2916,447,"3.28"
527,830,1307,345,"19.06"
528,827,1354,487,"6.92"
529,1463,2161,301,"7.50"
530,126,253,395,"3.93"
531,1273,1917,336,"7.12"
532,1618,2489,403,"3.14"
533,1195,1751,407,"15.62"
534,354,783,314,"4.96"
535,826,1325,429,"9.23"
536,570,1031,370,"0.80"
537,353,810,345,"2.00"
538,1544,2215,316,"1.82"
539,1713,2689,338,"12.50"
540,1552,2243,470,"2.50"
541,118,441,452,"1.77"
542,1625,2592,360,"2.00"
543,1549,2207,449,"2.14"
544,10,3025,436,"4.21"
545,1818,2740,419,"2.40"
546,1629,3015,448,"3.14"
547,1369,2027,422,"4.62"
548,563,974,401,"5.20"
549,891,1413,350,"1.79"
550,1620,2434,432,"3.39"
551,226,548,321,"1.79"
552,1625,2476,335,"3.39"
553,224,654,464,"2.79"
554,226,630,406,"3.93"
555,1552,2346,363,"3.21"
556,15,106,355,"3.00"
557,1903,2892,432,"3.20"
558,350,840,378,"2.24"
559,657,1124,414,"4.00"
560,1463,2183,424,"12.50"
561,896,1495,481,"1.07"
562,1469,2125,396,"6.79"
563,825,1285,320,"6.44"
564,111,248,322,"4.29"
565,1905,2913,461,"1.36"
566,1541,2284,498,"3.93"
567,1369,2001,329,"5.77"
568,566,1017,443,"0.64"
569,1538,2213,381,"2.14"
570,341,702,479,"2.00"
571,345,839,358,"4.00"
572,109,443,420,"1.79"
573,349,691,490,"0.80"
574,116,300,489,"2.11"
575,1005,1545,317,"8.00"
576,664,1137,421,"4.00"
577,13,139,408,"6.40"
578,1552,2221,354,"5.00"
579,1537,2305,352,"1.79"
580,110,270,465,"2.14"
581,1616,2495,300,"1.79"
582,1542,2291,411,"3.57"
583,1545,2368,358,"1.79"
584,1369,1981,382,"7.69"
585,1541,2296,306,"3.57"
586,827,1315,345,"6.92"
587,126,361,316,"4.29"
588,1465,2186,448,"7.81"
589,555,1043,318,"1.52"
590,228,545,325,"3.57"
591,1616,2443,346,"1.89"
592,554,1010,352,"8.00"
593,219,519,396,"3.57"
594,222,521,323,"3.57"
595,1546,2259,385,"2.14"
596,115,387,301,"3.93"
597,554,1003,352,"5.20"
598,1550,2233,418,"2.07"
599,1103,1715,417,"4.62"
600,566,1006,392,"3.20"
601,111,287,420,"4.07"
602,449,932,457,"1.44"
603,1536,2220,378,"2.75"
604,1534,2378,338,"1.79"
605,466,920,453,"4.00"
606,232,583,472,"5.71"
607,103,314,409,"1.79"
608,1008,1537,460,"1.60"
609,1102,1740,464,"13.85"
610,5,108,339,"2.00"
611,109,420,376,"1.75"
612,110,455,359,"11.54"
613,571,1042,473,"0.64"
614,1619,2421,458,"3.04"
615,1815,2765,481,"0.16"
616,18,87,445,"3.21"
617,1273,1939,335,"3.20"
618,1626,2466,332,"3.07"
619,1619,2430,492,"3.21"
620,1546,2200,303,"3.93"
621,341,732,474,"6.40"
622,1547,2224,411,"3.18"
623,452,960,491,"2.00"
624,1620,2479,393,"1.07"
625,1285,1954,358,"5.68"
626,124,363,332,"4.29"
627,222,543,446,"1.43"
628,226,586,373,"9.99"
629,121,425,429,"1.79"
630,1534,2282,311,"5.71"
631,443,912,484,"18.75"
632,896,1438,336,"2.14"
633,19,192,336,"1.88"
634,1546,2229,386,"3.93"
635,1190,1772,490,"7.50"
636,665,1141,500,"2.40"
637,1467,2184,415,"5.00"
638,17,97,406,"3.11"
639,1096,1620,390,"0.80"
640,114,407,439,"1.75"
641,220,650,485,"3.57"
642,892,3021,479,"4.14"
643,761,1243,486,"4.46"
644,463,863,441,"5.00"
645,1628,2628,433,"0.64"
646,224,660,300,"3.07"
647,563,1045,452,"3.20"
648,1707,2668,483,"3.12"
649,1453,2063,456,"2.14"
650,213,642,322,"3.21"
651,1104,1581,473,"9.60"
652,1902,2934,460,"1.96"
653,222,533,428,"0.64"
654,893,3031,475,"6.92"
655,1618,2612,378,"0.16"
656,761,1257,469,"1.79"
657,1193,1754,443,"12.50"
658,1809,2808,369,"3.20"
659,1457,2114,431,"1.29"
660,4,196,326,"9.60"
661,1381,1996,448,"11.54"
662,1812,3009,487,"2.50"
663,891,1420,442,"1.07"
664,230,552,337,"3.43"
665,1622,2447,367,"7.14"
666,1814,2796,371,"1.40"
667,1102,1622,301,"2.04"
668,1617,2629,338,"0.80"
669,104,327,466,"3.36"
670,1893,2887,489,"2.00"
671,754,1223,367,"7.14"
672,352,720,462,"2.00"
673,746,1245,418,"1.29"
674,1621,2463,389,"1.79"
675,1281,1963,306,"0.80"
676,115,259,321,"3.71"
677,1908,2855,455,"4.00"
678,1541,2242,489,"1.79"
679,114,403,461,"7.14"
680,454,916,306,"6.25"
681,111,302,401,"2.14"
682,894,3028,303,"4.29"
683,1902,2857,332,"2.00"
684,107,424,356,"1.07"
685,1455,2044,427,"1.79"
686,233,558,476,"47.54"
687,357,757,412,"2.00"
688,1626,2551,399,"3.28"
689,757,1229,335,"6.79"
690,225,664,437,"2.86"
691,757,1236,308,"3.39"
692,343,733,378,"5.60"
693,111,453,390,"5.38"
694,991,1521,301,"1.44"
695,753,1193,477,"3.21"
696,12,103,340,"1.43"
697,447,952,398,"5.20"
698,897,1400,451,"2.00"
699,117,372,367,"3.21"
700,226,613,404,"30.41"
701,665,1171,314,"2.00"
702,1189,1880,422,"2.00"
703,1380,3019,335,"1.43"
704,13,130,408,"0.16"
705,1005,1522,381,"1.60"
706,890,1467,456,"3.39"
707,827,1294,453,"6.25"
708,352,756,477,"5.76"
709,893,1422,472,"1.96"
710,1096,1720,335,"11.54"
711,468,878,493,"15.62"
712,119,272,398,"1.43"
713,444,895,465,"9.38"
714,669,1148,300,"4.80"
715,895,1398,439,"2.00"
716,467,970,484,"4.00"
717,1270,1970,377,"1.60"
718,226,682,390,"3.21"
719,129,337,301,"1.43"
720,1452,2131,372,"1.79"
721,755,1252,488,"1.93"
722,1894,2863,399,"2.40"
723,217,496,415,"2.14"
724,1905,2843,476,"2.56"
725,15,4,384,"1.07"
726,1366,2015,468,"6.92"
727,110,277,336,"1.43"
728,118,308,480,"3.57"
729,827,3020,312,"2.50"
730,11,92,411,"1.79"
731,760,1190,396,"1.43"
732,455,950,460,"3.20"
733,1381,1990,326,"7.69"
734,760,1191,411,"1.79"
735,899,1370,495,"1.44"
736,123,475,421,"13.85"
737,453,906,320,"6.25"
738,111,391,477,"3.21"
739,1619,2561,413,"0.16"
740,1552,2365,367,"3.57"
741,1194,1804,444,"4.88"
742,1622,2600,429,"5.60"
743,1906,2866,396,"3.20"
744,1376,1983,439,"11.54"
745,215,518,480,"1.43"
746,1461,2088,434,"4.54"
747,1623,2432,483,"1.96"
748,654,1117,476,"4.00"
749,1708,2670,336,"3.31"
750,1534,2359,322,"2.14"
751,894,1433,390,"4.50"
752,1544,2210,467,"3.21"
753,1816,2769,446,"1.96"
754,13,129,485,"7.20"
755,117,276,465,"7.14"
756,466,949,463,"2.00"
757,104,445,379,"4.29"
758,469,894,420,"12.50"
759,219,599,402,"2.86"
760,1102,1691,360,"11.54"
761,1542,2347,424,"2.86"
762,1366,2017,449,"5.77"
763,1535,2265,431,"2.86"
764,459,921,387,"5.20"
765,1461,2191,361,"9.38"
766,218,535,486,"3.57"
767,12,78,397,"3.39"
768,745,1262,313,"6.96"
769,1549,2332,418,"0.86"
770,1619,2576,455,"1.92"
771,455,904,453,"9.38"
772,338,824,398,"2.80"
773,891,1380,386,"1.60"
774,449,905,485,"9.31"
775,1550,2312,355,"3.21"
776,831,1346,329,"5.23"
777,1548,2366,496,"2.14"
778,120,304,331,"1.43"
779,573,1016,477,"5.60"
780,1534,2230,323,"1.43"
781,831,1356,409,"6.92"
782,1454,2048,478,"6.79"
783,226,540,401,"1.79"
784,1196,1813,398,"3.20"
785,216,568,306,"1.79"
786,233,503,310,"1.36"
787,1191,1830,441,"1.88"
788,825,1288,384,"15.78"
789,105,377,317,"0.71"
790,14,83,301,"3.39"
791,667,1119,377,"4.80"
792,897,1474,468,"1.79"
793,900,1421,493,"1.07"
794,468,948,420,"1.44"
795,900,1449,475,"6.79"
796,8,3027,355,"3.57"
797,898,3010,401,"1.43"
798,1809,2742,346,"3.20"
799,899,1445,401,"4.46"
800,107,451,436,"11.54"
801,1099,1671,411,"3.36"
802,116,356,399,"4.29"
803,568,1000,474,"4.80"
804,119,254,376,"0.86"
805,450,930,358,"2.00"
806,752,1188,496,"1.43"
807,1545,2216,489,"0.71"
808,113,295,348,"1.29"
809,1374,1998,353,"13.85"
810,216,537,488,"1.43"
811,1550,2244,334,"1.79"
812,122,422,419,"4.29"
813,1102,1687,312,"7.69"
814,123,278,429,"3.93"
815,338,813,367,"3.20"
816,1540,2292,301,"3.57"
817,1192,1752,302,"18.75"
818,18,19,354,"1.25"
819,748,1180,353,"6.79"
820,1466,2091,432,"1.43"
821,1098,1731,352,"15.38"
822,1547,2348,471,"2.50"
823,469,967,336,"1.84"
824,1379,2009,490,"5.38"
825,1280,1937,465,"1.60"
826,223,495,321,"4.50"
827,126,305,376,"3.93"
828,233,667,491,"1.43"
829,225,500,365,"2.50"
830,109,280,497,"1.07"
831,1102,1569,459,"9.52"
832,1550,2288,338,"2.86"
833,1102,1653,324,"2.00"
834,1552,2249,346,"1.79"
835,229,530,428,"1.43"
836,14,152,374,"1.40"
837,1542,2358,346,"2.14"
838,1616,2426,372,"1.07"
839,218,656,343,"2.86"
840,19,47,315,"1.07"
841,1,58,387,"1.07"
842,340,845,463,"2.60"
843,669,1168,405,"3.20"
844,1545,2308,425,"2.86"
845,226,644,387,"3.50"
846,106,286,312,"2.86"
847,1813,2803,435,"2.00"
848,1458,3018,356,"6.15"
849,124,289,325,"4.29"
850,1459,3011,454,"4.00"
851,1369,2003,345,"15.38"
852,105,439,452,"1.25"
853,1622,2591,321,"7.20"
854,1101,1708,440,"5.77"
855,346,789,377,"1.60"
856,108,269,392,"1.43"
857,112,432,367,"5.71"
858,109,331,367,"3.57"
859,214,629,313,"3.21"
860,1096,1558,301,"1.40"
861,1620,2431,480,"4.43"
862,1463,2115,300,"1.96"
863,658,1130,363,"2.80"
864,1099,1649,485,"4.80"
865,987,1529,484,"1.84"
866,1535,2372,465,"5.71"
867,458,931,354,"3.20"
868,1189,1860,444,"2.00"
869,114,288,329,"3.57"
870,760,1238,385,"1.79"
871,1704,2697,473,"12.81"
872,469,969,323,"1.84"
873,1368,1994,378,"6.92"
874,1909,2930,312,"0.16"
875,15,80,331,"1.96"
876,233,534,399,"1.43"
877,747,1235,427,"6.79"
878,1466,2142,353,"7.14"
879,752,1232,306,"3.39"
880,231,663,443,"1.79"
881,567,1013,487,"2.00"
882,222,524,391,"1.29"
883,106,324,430,"1.43"
884,1369,2036,345,"8.92"
885,1196,1855,402,"0.64"
886,1466,2155,342,"3.12"
887,830,1355,335,"7.69"
888,756,1242,484,"6.96"
889,121,411,365,"1.50"
890,1895,2884,473,"4.80"
891,1809,2791,378,"5.60"
892,1103,1701,384,"7.69"
893,991,1527,422,"4.00"
894,563,981,498,"5.20"
895,827,3016,347,"3.57"
896,1098,1741,349,"6.92"
897,1538,2252,365,"2.86"
898,1378,2029,321,"6.15"
899,338,767,422,"9.60"
900,566,1012,350,"5.20"
901,831,1323,341,"15.38"
902,895,1499,310,"3.39"
903,1465,2128,486,"3.39"
904,1536,2228,427,"2.86"
905,1617,2427,322,"1.29"
906,826,1363,490,"15.38"
907,111,351,464,"3.57"
908,1102,1714,344,"9.23"
909,1551,2313,307,"1.29"
910,216,596,349,"1.50"
911,747,1198,442,"1.71"
912,233,666,345,"4.29"
913,1621,2401,429,"1.07"
914,1621,2502,419,"4.29"
915,899,1437,364,"1.96"
916,1463,2170,476,"2.94"
917,1550,2281,390,"1.43"
918,1617,2623,314,"9.60"
919,103,401,449,"1.79"
920,348,820,429,"4.40"
921,1540,2271,360,"1.43"
922,561,998,428,"1.60"
923,346,856,500,"4.00"
